segment_id,window_type,source_run,adsc_lat_min,adsc_lat_max,adsc_lon_min,adsc_lon_max
20240313_407af1_153042_155337,day-window (old),step1_raw_20240312_20240313,26.671886444091797,29.836978912353516,-0.2545738220214844,0.3685569763183594
20240313_4bb196_200050_202834,day-window (old),step1_raw_20240312_20240313,70.53171157836914,72.20987319946289,-32.279720306396484,-22.290401458740234
20240313_7380ca_164750_174514,day-window (old),step1_raw_20240312_20240313,9.224739074707031,9.266281127929688,52.35963821411133,60.17143249511719
20240611_396444_152911_161736,day-window (old),step1_raw_20240611_20240612,29.38619613647461,34.897212982177734,2.7325057983398438,4.143390655517578
20240611_780abb_132913_171700,day-window (old),step1_raw_20240611_20240612,-24.98342514038086,-12.727832794189453,37.114906311035156,69.20099258422852
20240612_89644f_161423_163912,day-window (old),step1_raw_20240611_20240612,70.0568962097168,70.09414672851562,1.7337799072265625,11.627826690673828
20240612_8964bc_145752_165159,day-window (old),step1_raw_20240611_20240612,-0.8243179321289062,12.376956939697266,43.40217590332031,51.622352600097656
20250115_3451cf_190641_203412,day-window (old),step1_raw_20250114_20250115,26.71548843383789,32.87057876586914,-35.75019836425781,-24.594955444335938
20250115_34530c_190736_204658,day-window (old),step1_raw_20250114_20250115,26.91547393798828,33.509674072265625,-36.87234878540039,-24.076881408691406
20250115_34740f_194451_205203,day-window (old),step1_raw_20250114_20250115,30.723438262939453,34.162330627441406,-38.385887145996094,-29.453144073486328
20250115_3965a7_230500_232620,day-window (old),step1_raw_20250114_20250115,21.82159423828125,23.0657958984375,63.79434585571289,67.04767227172852
20250115_3965aa_001242_003507,day-window (old),step1_raw_20250114_20250115,21.484622955322266,22.779293060302734,64.60372924804688,67.87817001342773
20250115_39cf0b_020910_032140,day-window (old),step1_raw_20250114_20250115,13.945598602294922,22.953529357910156,-26.602020263671875,-20.912818908691406
20250115_4007fb_235939_010900,day-window (old),step1_raw_20250114_20250115,15.323352813720703,20.00112533569336,64.07157897949219,73.16619873046875
20250115_40621d_000104_014602,day-window (old),step1_raw_20250114_20250115,14.434318542480469,26.785011291503906,-0.033817291259765625,1.6469192504882812
20250115_4074e2_015429_041112,day-window (old),step1_raw_20250114_20250115,12.270011901855469,29.636993408203125,1.3231658935546875,2.2393226623535156
20250115_4074e3_002451_040549,day-window (old),step1_raw_20250114_20250115,-17.111549377441406,11.657524108886719,8.611221313476562,15.753192901611328
